"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgVehicles_SFM_ExoBack0","Exoskeleton","Exoskeleton","Exoskeleton","Exoskelett","Экзоскелет","Egzoszkielet","Exoskeleton","Esoscheletro","Exoesqueleto","Exosquelette","外骨骼","外骨格","Exosqueleto","外骨骼",
"STR_CfgVehicles_SFM_ExoBack1","The Exoskeleton is cutting-edge equipment providing unmatched protection and mobility in Zone conditions. Made from durable and lightweight materials, this exoskeleton enhances a stalker's physical capabilities, allowing quick and agile movement despite heavy gear. Integrated protection systems provide defense against bullets, anomalous phenomena, and radiation, making it indispensable equipment for brave Zone explorers.","The Exoskeleton is cutting-edge equipment providing unmatched protection and mobility in Zone conditions. Made from durable and lightweight materials, this exoskeleton enhances a stalker's physical capabilities, allowing quick and agile movement despite heavy gear. Integrated protection systems provide defense against bullets, anomalous phenomena, and radiation, making it indispensable equipment for brave Zone explorers.","Exoskeleton je špičkové vybavení poskytující bezkonkurenční ochranu a mobilitu v zónových podmínkách. Tento exoskeleton, vyrobený z odolných a lehkých materiálů, zvyšuje fyzické schopnosti stalkera a umožňuje rychlý a hbitý pohyb navzdory těžkému vybavení. Integrované ochranné systémy poskytují ochranu proti střelám, anomálním jevům a radiaci, což z něj činí nepostradatelné vybavení pro odvážné průzkumníky Zóny.","Das Exoskelett ist eine hochmoderne Ausrüstung, die unübertroffenen Schutz und Mobilität in der Zone bietet. Dieses Exoskelett aus strapazierfähigen und leichten Materialien verbessert die körperlichen Fähigkeiten eines Stalkers und ermöglicht trotz schwerer Ausrüstung schnelle und agile Bewegungen. Integrierte Schutzsysteme bieten Schutz vor Kugeln, anomalen Phänomenen und Strahlung und machen es zu einer unverzichtbaren Ausrüstung für mutige Zonenforscher.","Экзоскелет - передовое снаряжение, обеспечивающее непревзойденную защиту и мобильность в условиях Зоны. Изготовленный из прочных и легких материалов, этот экзоскелет усиливает физические способности сталкера, позволяя быстро и маневренно передвигаться, несмотря на тяжесть снаряжения. Интегрированные системы защиты обеспечивают защиту от пуль, аномальных явлений и радиации, делая его незаменимым снаряжением для смелых исследователей Зоны.","Egzoszkielet to najnowocześniejszy sprzęt zapewniający niezrównaną ochronę i mobilność w warunkach strefowych. Wykonany z wytrzymałych i lekkich materiałów egzoszkielet zwiększa możliwości fizyczne stalkera, umożliwiając szybkie i zwinne poruszanie się pomimo ciężkiego ekwipunku. Zintegrowane systemy ochronne zapewniają ochronę przed pociskami, zjawiskami anomalnymi i promieniowaniem, czyniąc go niezbędnym wyposażeniem dla odważnych odkrywców Strefy.","Az Exoskeleton élvonalbeli felszerelés, amely páratlan védelmet és mobilitást biztosít zóna körülmények között. A tartós és könnyű anyagokból készült exoskeleton növeli a leselkedő fizikai képességeit, lehetővé téve a gyors és mozgékony mozgást a nehéz felszerelés ellenére. Az integrált védelmi rendszerek védelmet nyújtanak a lövedékek, az anomális jelenségek és a sugárzás ellen, így nélkülözhetetlen felszerelés a bátor Zóna felfedezők számára.","L'esoscheletro è un equipaggiamento all'avanguardia che offre protezione e mobilità senza pari in condizioni di zona. Realizzato con materiali resistenti e leggeri, questo esoscheletro potenzia le capacità fisiche di uno stalker, consentendo movimenti rapidi e agili nonostante l'equipaggiamento pesante. I sistemi di protezione integrati forniscono una difesa contro proiettili, fenomeni anomali e radiazioni, rendendolo un equipaggiamento indispensabile per i coraggiosi esploratori della Zona.","El Exoesqueleto es un equipo de vanguardia que proporciona una protección y movilidad inigualables en condiciones de Zona. Fabricado con materiales duraderos y ligeros, este exoesqueleto mejora las capacidades físicas de un acechador, permitiendo un movimiento rápido y ágil a pesar del pesado equipo. Los sistemas de protección integrados proporcionan defensa contra balas, fenómenos anómalos y radiación, lo que lo convierte en un equipo indispensable para los valientes exploradores de la Zona.","L'exosquelette est un équipement de pointe qui offre une protection et une mobilité inégalées dans les conditions de la zone. Fabriqué à partir de matériaux durables et légers, cet exosquelette améliore les capacités physiques du traqueur, lui permettant de se déplacer rapidement et avec agilité malgré un équipement lourd. Les systèmes de protection intégrés assurent une défense contre les balles, les phénomènes anormaux et les radiations, ce qui en fait un équipement indispensable pour les courageux explorateurs de la Zone.","外骨骼是一种尖端装备，可在 ""区域 ""条件下提供无与伦比的保护和机动性。这种外骨骼由耐用的轻质材料制成，能增强潜行者的体能，使其在装备沉重的情况下仍能快速灵活地行动。综合保护系统可抵御子弹、异常现象和辐射，是勇敢的 ""区 ""探险者不可或缺的装备。","エクソスケルトンは、ゾーンコンディションにおいて比類なきプロテクションと機動性を提供する最先端装備です。丈夫で軽量な素材で作られたこの外骨格は、ストーカーの身体能力を強化し、重い装備にもかかわらず素早く機敏な動きを可能にします。統合された保護システムは、銃弾、異常現象、放射線に対する防御を提供し、勇敢なゾーン探検家にとって不可欠な装備となっている。","O Exoskeleton é um equipamento de ponta que proporciona uma proteção e mobilidade inigualáveis em condições de zona. Feito de materiais leves e duráveis, este exoesqueleto melhora as capacidades físicas do perseguidor, permitindo movimentos rápidos e ágeis apesar do equipamento pesado. Os sistemas de proteção integrados fornecem defesa contra balas, fenómenos anómalos e radiação, tornando-o um equipamento indispensável para os corajosos exploradores da Zona.","外骨骼是一种尖端装备，可在 ""区域 ""条件下提供无与伦比的保护和机动性。这种外骨骼由耐用的轻质材料制成，能增强潜行者的体能，使其在装备沉重的情况下仍能快速灵活地行动。综合保护系统可抵御子弹、异常现象和辐射，是勇敢的 ""区 ""探险者不可或缺的装备。",
"STR_CfgVehicles_SFM_SunriseVestFull_Base0","Zarya Suit Body Armor","Zarya Suit Body Armor","Oblek Zarya Body Armor","Zarya Anzug Körperpanzer","Бронежилет комбинезона Заря","Zarya Suit Body Armor","Zarya Suit testpáncél","Armatura della tuta Zarya","Traje Zarya Body Armor","Armure corporelle Zarya Suit","扎里亚套装防弹衣","ザリヤ・スーツ・ボディアーマー","Fato de proteção Zarya","扎里亚套装防弹衣",
"STR_CfgVehicles_SFM_SunriseVestFull_Base1","The Zarya body armor provides reliable protection from the dangers of the Zone. Made from resilient materials, this body armor ensures dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for freedom of movement in conditions of constant danger.","The Zarya body armor provides reliable protection from the dangers of the Zone. Made from resilient materials, this body armor ensures dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for freedom of movement in conditions of constant danger.","Zbroj Zarya poskytuje spolehlivou ochranu před nebezpečím v zóně. Tato neprůstřelná vesta je vyrobena z odolných materiálů a zajišťuje spolehlivou ochranu před kulkami, střepinami a dalšími hrozbami. Její pohodlný a ergonomický design umožňuje volný pohyb v podmínkách neustálého nebezpečí.","Die Zarya Schutzweste bietet zuverlässigen Schutz vor den Gefahren der Zone. Die aus widerstandsfähigen Materialien gefertigte Schutzweste bietet zuverlässigen Schutz vor Kugeln, Schrapnellen und anderen Bedrohungen. Das bequeme und ergonomische Design ermöglicht Bewegungsfreiheit unter den Bedingungen der ständigen Gefahr.","Бронежилет Заря - надежная защита от опасностей Зоны. Изготовленный из устойчивых материалов, этот бронежилет обеспечивает надежную защиту от пуль, осколков и других угроз. Удобный и эргономичный дизайн позволяет свободно передвигаться в условиях постоянной опасности.","Kamizelka kuloodporna Zarya zapewnia niezawodną ochronę przed niebezpieczeństwami Strefy. Wykonany z wytrzymałych materiałów pancerz zapewnia niezawodną ochronę przed pociskami, odłamkami i innymi zagrożeniami. Wygodna i ergonomiczna konstrukcja zapewnia swobodę ruchów w warunkach ciągłego zagrożenia.","A Zarya testpáncél megbízható védelmet nyújt a Zóna veszélyei ellen. Ez az ellenálló anyagokból készült testpáncél megbízható védelmet biztosít a golyók, repeszek és egyéb fenyegetések ellen. Kényelmes és ergonomikus kialakítása lehetővé teszi a szabad mozgást az állandó veszélyek között.","L'armatura Zarya offre una protezione affidabile dai pericoli della Zona. Realizzata con materiali resistenti, questa armatura assicura una protezione affidabile contro proiettili, schegge e altre minacce. Il suo design confortevole ed ergonomico consente libertà di movimento in condizioni di pericolo costante.","El chaleco antibalas Zarya proporciona una protección fiable contra los peligros de la Zona. Fabricado con materiales resistentes, este chaleco garantiza una protección fiable contra balas, metralla y otras amenazas. Su diseño cómodo y ergonómico permite libertad de movimientos en condiciones de peligro constante.","Le gilet pare-balles Zarya offre une protection fiable contre les dangers de la Zone. Fabriquée à partir de matériaux résistants, cette armure assure une protection fiable contre les balles, les éclats d'obus et autres menaces. Sa conception confortable et ergonomique permet une grande liberté de mouvement dans des conditions de danger permanent.","Zarya 防弹衣可提供可靠的保护，抵御 ""区域 ""内的危险。该防弹衣由弹性材料制成，可确保可靠地抵御子弹、弹片和其他威胁。其舒适和符合人体工学的设计使其能够在持续危险的条件下自由行动。","Zaryaボディアーマーはゾーンの危険から信頼できる保護を提供します。弾力性のある素材から作られたこの防護服は、銃弾や榴散弾、その他の脅威から確実に身を守ります。快適で人間工学に基づいたデザインは、常に危険と隣り合わせの状況下でも自由な動きを可能にします。","O colete à prova de bala Zarya proporciona uma proteção fiável contra os perigos da Zona. Fabricado com materiais resistentes, este colete à prova de bala garante uma proteção fiável contra balas, estilhaços e outras ameaças. O seu design confortável e ergonómico permite liberdade de movimentos em condições de perigo constante.","Zarya 防弹衣可提供可靠的保护，抵御 ""区域 ""内的危险。该防弹衣由弹性材料制成，可确保可靠地抵御子弹、弹片和其他威胁。其舒适和符合人体工学的设计使其能够在持续危险的条件下自由行动。",
"STR_CfgVehicles_SFM_SunriseVest1_Base0","Dawn Suit Body Armor","Dawn Suit Body Armor","Brnění Dawn Suit","Dawn Suit Körperpanzer","Бронежилет комбинезона Заря","Pancerz ochronny Dawn Suit","Dawn Suit testpáncél","Armatura dawn suit","Armadura corporal Dawn Suit","Armure corporelle Dawn Suit","黎明套装防弹衣","ドーンスーツ・ボディアーマー","Fato de proteção Dawn Suit","黎明套装防弹衣",
"STR_CfgVehicles_SFM_SunriseVest1_Base1","The Dawn body armor is reliable protection against the Zone's dangers. Made from durable materials, this body armor provides dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for free movement in conditions of constant danger.","The Dawn body armor is reliable protection against the Zone's dangers. Made from durable materials, this body armor provides dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for free movement in conditions of constant danger.","Brnění Dawn je spolehlivou ochranou proti nebezpečí v zóně. Tato neprůstřelná vesta je vyrobena z odolných materiálů a poskytuje spolehlivou ochranu před kulkami, střepinami a dalšími hrozbami. Její pohodlný a ergonomický design umožňuje volný pohyb v podmínkách neustálého nebezpečí.","Die Dawn Schutzweste ist ein zuverlässiger Schutz gegen die Gefahren der Zone. Die aus strapazierfähigen Materialien gefertigte Schutzweste bietet zuverlässigen Schutz vor Kugeln, Schrapnellen und anderen Bedrohungen. Das bequeme und ergonomische Design ermöglicht eine freie Bewegung unter den Bedingungen ständiger Gefahr.","Бронежилет Заря - надежная защита от опасностей Зоны. Изготовленный из устойчивых материалов, этот бронежилет обеспечивает надежную защиту от пуль, осколков и других угроз. Удобный и эргономичный дизайн позволяет свободно передвигаться в условиях постоянной опасности.","Pancerz Dawn to niezawodna ochrona przed zagrożeniami strefy. Wykonany z wytrzymałych materiałów pancerz zapewnia niezawodną ochronę przed pociskami, odłamkami i innymi zagrożeniami. Jego wygodna i ergonomiczna konstrukcja pozwala na swobodne poruszanie się w warunkach ciągłego zagrożenia.","A Dawn testpáncél megbízható védelmet nyújt a Zóna veszélyei ellen. A tartós anyagokból készült testpáncél megbízható védelmet nyújt a golyók, repeszek és egyéb fenyegetések ellen. Kényelmes és ergonomikus kialakítása lehetővé teszi a szabad mozgást az állandó veszélyek között.","L'armatura Dawn è una protezione affidabile contro i pericoli della Zona. Realizzata con materiali resistenti, questa armatura offre una protezione affidabile contro proiettili, schegge e altre minacce. Il suo design confortevole ed ergonomico consente di muoversi liberamente in condizioni di pericolo costante.","El chaleco antibalas Dawn es una protección fiable contra los peligros de la Zona. Fabricado con materiales duraderos, este chaleco antibalas proporciona una protección fiable contra balas, metralla y otras amenazas. Su diseño cómodo y ergonómico permite moverse libremente en condiciones de peligro constante.","Le gilet pare-balles Dawn est une protection fiable contre les dangers de la zone. Fabriquée à partir de matériaux durables, cette armure offre une protection fiable contre les balles, les éclats d'obus et autres menaces. Sa conception confortable et ergonomique permet de se déplacer librement dans des conditions de danger permanent.","黎明防弹衣是抵御 ""区 ""内危险的可靠防护装备。这款防弹衣由耐用材料制成，可提供可靠的保护，抵御子弹、弹片和其他威胁。其舒适且符合人体工学的设计，让你在危险重重的环境中也能自由行动。","夜明けの防護服は地帯の危険に対する信頼できる保護です。耐久性のある素材から作られたこのボディアーマーは、銃弾や榴散弾、その他の脅威から身を守ります。快適で人間工学に基づいたデザインは、常に危険と隣り合わせの状況下でも自由な動きを可能にします。","O colete à prova de bala Dawn é uma proteção fiável contra os perigos da Zona. Feito de materiais duráveis, este colete à prova de balas oferece uma proteção fiável contra balas, estilhaços e outras ameaças. O seu design confortável e ergonómico permite a livre circulação em condições de perigo constante.","黎明防弹衣是抵御 ""区 ""内危险的可靠防护装备。这款防弹衣由耐用材料制成，可提供可靠的保护，抵御子弹、弹片和其他威胁。其舒适且符合人体工学的设计，让你在危险重重的环境中也能自由行动。",
"STR_CfgVehicles_SFM_SunriseVest1_40","Sunrise M1 Vest","Sunrise M1 Vest","Vesta Sunrise M1","Sonnenaufgang M1 Weste","Sunrise M1 Vest","Kamizelka Sunrise M1","Sunrise M1 mellény","Sunrise M1 Vest","Chaleco Sunrise M1","Gilet M1 Sunrise","日出 M1 背心","サンライズM1ベスト","Colete Sunrise M1","日出 M1 背心",
"STR_CfgVehicles_SFM_SunriseVest1_41","Sunrise M1 vest. Can provide radiation protection. Especially in combination with rebreather","Sunrise M1 vest. Can provide radiation protection. Especially in combination with rebreather","Vesta Sunrise M1. Může poskytnout ochranu před zářením. Zejména v kombinaci s rebreatherem","Sunrise M1-Weste. Kann Strahlenschutz bieten. Besonders in Kombination mit Rebreather","Sunrise M1 vest. Can provide radiation protection. Especially in combination with rebreather","Kamizelka Sunrise M1. Może zapewnić ochronę przed promieniowaniem. Szczególnie w połączeniu z rebreatherem","Sunrise M1 mellény. Sugárvédelmet nyújthat. Különösen újralégzőkészülékkel kombinálva","Giubbotto Sunrise M1. Può fornire protezione dalle radiazioni. Soprattutto in combinazione con un rebreather","Chaleco Sunrise M1. Puede proporcionar protección contra la radiación. Especialmente en combinación con rebreather","Gilet Sunrise M1. Peut fournir une protection contre les radiations. Particulièrement en combinaison avec un recycleur","日出 M1 防弹背心。可提供辐射防护。特别是与再呼吸器结合使用时","サンライズM1ベスト。放射線防護が可能。特にリブリーザーとの組み合わせで","Colete Sunrise M1. Pode proporcionar proteção contra radiações. Especialmente em combinação com o rebreather","日出 M1 防弹背心。可提供辐射防护。特别是与再呼吸器结合使用时",
"STR_CfgVehicles_SFM_SunriseVest2_Base0","Zarya Suit Bulletproof Vest","Zarya Suit Bulletproof Vest","Neprůstřelná vesta Zarya Suit","Zarya Anzug Kugelsichere Weste","Бронежилет комбинезона Заря","Kamizelka kuloodporna Zarya Suit","Zarya Suit golyóálló mellény","Gilet antiproiettile della tuta Zarya","Chaleco antibalas Zarya Suit","Gilet pare-balles Zarya Suit","扎里亚套装防弹背心","ザリヤ・スーツ防弾チョッキ","Colete à prova de bala Zarya Suit","扎里亚套装防弹背心",
"STR_CfgVehicles_SFM_SunriseVest2_Base1","The Zarya bulletproof vest is reliable protection against the Zone's dangers. Made from resistant materials, this vest provides dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for free movement under constant danger.","The Zarya bulletproof vest is reliable protection against the Zone's dangers. Made from resistant materials, this vest provides dependable protection against bullets, shrapnel, and other threats. Its comfortable and ergonomic design allows for free movement under constant danger.","Neprůstřelná vesta Zarya je spolehlivou ochranou před nebezpečím v zóně. Tato vesta je vyrobena z odolných materiálů a poskytuje spolehlivou ochranu před kulkami, střepinami a dalšími hrozbami. Její pohodlný a ergonomický design umožňuje volný pohyb za neustálého nebezpečí.","Die kugelsichere Weste von Zarya ist ein zuverlässiger Schutz gegen die Gefahren der Zone. Aus widerstandsfähigen Materialien gefertigt, bietet diese Weste zuverlässigen Schutz gegen Kugeln, Splitter und andere Bedrohungen. Das bequeme und ergonomische Design ermöglicht eine freie Bewegung unter ständiger Gefahr.","Бронежилет Заря - надежная защита от опасностей Зоны. Изготовленный из устойчивых материалов, этот бронежилет обеспечивает надежную защиту от пуль, осколков и других угроз. Удобный и эргономичный дизайн позволяет свободно передвигаться в условиях постоянной опасности.","Kamizelka kuloodporna Zarya to niezawodna ochrona przed zagrożeniami strefy. Wykonana z odpornych materiałów kamizelka zapewnia niezawodną ochronę przed kulami, odłamkami i innymi zagrożeniami. Jej wygodna i ergonomiczna konstrukcja pozwala na swobodne poruszanie się w warunkach ciągłego zagrożenia.","A Zarya golyóálló mellény megbízható védelmet nyújt a Zóna veszélyei ellen. Az ellenálló anyagokból készült mellény megbízható védelmet nyújt a golyók, repeszek és egyéb fenyegetések ellen. Kényelmes és ergonomikus kialakítása lehetővé teszi a szabad mozgást állandó veszélyben.","Il giubbotto antiproiettile Zarya è una protezione affidabile contro i pericoli della zona. Realizzato con materiali resistenti, questo giubbotto offre una protezione affidabile contro proiettili, schegge e altre minacce. Il suo design confortevole ed ergonomico consente di muoversi liberamente in condizioni di pericolo costante.","El chaleco antibalas Zarya es una protección fiable contra los peligros de la Zona. Fabricado con materiales resistentes, este chaleco proporciona una protección fiable contra balas, metralla y otras amenazas. Su diseño cómodo y ergonómico permite moverse libremente bajo un peligro constante.","Le gilet pare-balles Zarya est une protection fiable contre les dangers de la zone. Fabriqué à partir de matériaux résistants, ce gilet offre une protection fiable contre les balles, les éclats d'obus et autres menaces. Sa conception confortable et ergonomique permet de se déplacer librement en cas de danger permanent.","Zarya 防弹背心是抵御 ""区 ""内危险的可靠保护装备。该防弹背心采用耐磨材料制成，能够可靠地抵御子弹、弹片和其他威胁。其舒适和符合人体工程学的设计使其能够在持续的危险中自由行动。","ザリヤ防弾チョッキは、ゾーンの危険から身を守る信頼性の高いプロテクションです。耐性のある素材から作られたこのベストは、銃弾、破片、その他の脅威から身を守ります。快適で人間工学に基づいたデザインにより、常に危険な状況下でも自由に動くことができます。","O colete à prova de bala Zarya é uma proteção fiável contra os perigos da Zona. Feito de materiais resistentes, este colete oferece uma proteção fiável contra balas, estilhaços e outras ameaças. O seu design confortável e ergonómico permite a livre circulação sob perigo constante.","Zarya 防弹背心是抵御 ""区 ""内危险的可靠保护装备。该防弹背心采用耐磨材料制成，能够可靠地抵御子弹、弹片和其他威胁。其舒适和符合人体工程学的设计使其能够在持续的危险中自由行动。",
